County Name,Health Topic Number,Health Topic,Indicator Number,Indicator,Event Count,Average Number of Denominator,Measure Unit,Percent/Rate,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Quartile,Data Years,Data Source,Mapping Distribution,Location
Nassau,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,2383,65392,Percentage,1.2,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(40.715749, -73.601185)"
New York,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,7179,65034,Percentage,3.7,,,,2.9 +   : Q4,2015-2017,"NYS Department of Education Data as of June, 2018",3,"(40.726966, -74.005966)"
Franklin,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,140,2280,Percentage,2,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(44.705699, -74.340621)"
Cortland,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,123,1941,Percentage,2.1,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(42.597101, -76.143291)"
Schoharie,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,94,1371,Percentage,2.3,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(42.643426, -74.434606)"
Rensselaer,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,285,6147,Percentage,1.5,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(42.70098, -73.628669)"
Orange,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,1250,19206,Percentage,2.2,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(41.422459, -74.241929)"
Sullivan,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,288,2801,Percentage,3.4,,,,2.9 +   : Q4,2015-2017,"NYS Department of Education Data as of June, 2018",3,"(41.705166, -74.711705)"
Rockland,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,835,12971,Percentage,2.1,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(41.127287, -74.017033)"
Cayuga,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,212,2900,Percentage,2.4,,,,2.3 - <    2.9  : Q3,2015-2017,"NYS Department of Education Data as of June, 2018",2,"(42.940095, -76.560755)"
Putnam,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,119,5024,Percentage,0.8,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(41.41131, -73.717443)"
Tompkins,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,237,3439,Percentage,2.3,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(42.461024, -76.478784)"
Wyoming,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,53,1294,Percentage,1.4,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(42.723641, -78.204473)"
Livingston,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,107,2473,Percentage,1.4,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(42.763754, -77.765392)"
Albany,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,1141,12265,Percentage,3.1,,,,2.9 +   : Q4,2015-2017,"NYS Department of Education Data as of June, 2018",3,"(42.678066, -73.814233)"
Genesee,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,112,2515,Percentage,1.5,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(43.000121, -78.172679)"
Chemung,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,485,3374,Percentage,4.8,,,,2.9 +   : Q4,2015-2017,"NYS Department of Education Data as of June, 2018",3,"(42.116644, -76.812331)"
Suffolk,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,3991,79614,Percentage,1.7,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(40.820237, -73.119032)"
Schuyler,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,37,584,Percentage,2.1,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(42.38593, -76.872032)"
Queens,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,8948,76941,Percentage,3.9,,,,2.9 +   : Q4,2015-2017,"NYS Department of Education Data as of June, 2018",3,"(40.749338, -73.789673)"
Niagara,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,730,9106,Percentage,2.7,,,,2.3 - <    2.9  : Q3,2015-2017,"NYS Department of Education Data as of June, 2018",2,"(43.134634, -78.856419)"
Delaware,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,116,1703,Percentage,2.3,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(42.242972, -74.997944)"
Ontario,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,242,5078,Percentage,1.6,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(42.894571, -77.252045)"
Essex,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,64,1191,Percentage,1.8,,,,0 - <    2.3  : Q1 & Q2,2015-2017,"NYS Department of Education Data as of June, 2018",1,"(44.166026, -73.685145)"
Washington,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,252,2615,Percentage,3.2,,,,2.9 +   : Q4,2015-2017,"NYS Department of Education Data as of June, 2018",3,"(43.289513, -73.454761)"
Cattaraugus,14,Socio-Economic Status and General Health Indicators,g103,Percentage of high school drop out,304,3957,Percentage,2.6,,,,2.3 - <    2.9  : Q3,2015-2017,"NYS Department of Education Data as of June, 2018",2,"(42.224267, -78.606673)"
